BlockNo_	S3300047	S3300074	S3300239
Block8913	0.91849	0.91568	0.88089
Block8914	0.90345	0.88839	0.8481
Block8915	0.84821	0.61207	0.64423
Block8916	0.75874	0.75669	0.80097
Block8917	0.01197	0.02013	0.06303
Block8918	0.80249	0.82173	0.8035
Block8919	0.01886	0.05435	0.04384
Block8920	0.03478	0.04619	0.0484
Block8921	0.01503	0.00608	0.01044
Block8922	0.88326	0.84355	0.87992
Block8923	0.80031	0.81509	0.81024
Block8924	0.80755	0.7846	0.79245
Block8925	0.75361	0.78472	0.79899
Block8926	0.82281	0.76388	0.79921
Block8927	0.79954	0.71676	0.68994
Block8928	0.00777	0.01188	0.00716
Block8929	0.81032	0.87222	0.83401
Block8930	0.00961	0.0285	0.02026
Block8931	0.74695	0.78996	0.79825
Block8932	0.74086	0.78425	0.76478
Block8933	0.85815	0.85191	0.85534
Block8934	0.02667	0.08564	0.03035
Block8935	0.72208	0.74746	0.7345
Block8936	0.9044	0.91139	0.89789
Block8937	0.73611	0.61194	0.77083
Block8938	0.74177	0.62593	0.66723
Block8939	0.48429	0.36405	0.28546
Block8940	0.72342	0.71202	0.71147
Block8941	0.1914	0.17252	0.108
Block8942	0.03739	0.02699	0.02924
Block8943	0.79327	0.78958	0.76971
Block8944	0.07963	0.01911	0.03386
Block8945	0.00079	0.00118	0.00608
Block8946	0.82456	0.69229	0.70618
Block8947	0.00491	0.00867	0.00263
Block8948	0.2757	0.20624	0.16001
Block8949	0.88087	0.84854	0.84196
Block8950	0.68539	0.72024	0.68768
Block8951	0.00416	0.00183	0.00996
Block8952	0.53184	0.34829	0.47099
Block8953	0.23437	0.23875	0.13467
Block8954	0.76791	0.79745	0.80749
Block8955	0.85443	0.78086	0.80645
Block8956	0.85718	0.84391	0.83911
Block8957	0.00821	0.0328	0.03725
Block8958	0.20546	0.14436	0.12783
Block8959	0.77471	0.79861	0.83302
Block8960	0.87148	0.86201	0.83951
Block8961	0.86053	0.80955	0.86353
Block8962	0.8907	0.83355	0.8768
Block8963	0.51515	0.22513	0.23723
Block8964	0.69444	0.77972	0.82752
Block8965	0.7983	0.77505	0.78773
Block8966	0.10432	0.13206	0.121
Block8967	1	0.75	1
Block8968	0.13	0.19864	0.19257
Block8969	0.00268	0.0157	0.01567
Block8970	0.83866	0.82474	0.86373
Block8971	0.85873	0.85563	0.82618
Block8972	0.81058	0.66987	0.71127
Block8973	0.00844	0.00935	0.01477
Block8974	0.76554	0.84379	0.84843
Block8975	0.00077	0.00573	0.00071
Block8976	0.01062	0.01458	0.01719
Block8977	0.85142	0.67818	0.66301
Block8978	0.71591	0.83824	0.78333
Block8979	0.81132	0.819	0.80986
Block8980	0.7748	0.76689	0.7847
Block8981	0.01595	0.01563	0.06731
Block8982	0.71952	0.70836	0.64968
Block8983	0.66881	0.62496	0.5944
Block8984	0.7673	0.75375	0.71537
Block8985	0.7121	0.65999	0.65366
Block8986	0.0466	0.13126	0.09275
Block8987	0.79831	0.77729	0.75402
Block8988	0.12573	0.09121	0.13029
Block8989	0.89451	0.86345	0.89026
Block8990	0	0	0.00012
Block8991	0.02243	0.03917	0.0494
Block8992	0.00215	0.02554	0.02494
Block8993	0.20036	0.25487	0.23403
Block8994	0.90922	0.88693	0.85502
